Date,Oahu,Hawaii,Maui,Kauai
2020-03-05,1,0.0,0.0,0.0
2020-03-06,0,0.0,0.0,0.0
2020-03-07,0,0.0,0.0,0.0
2020-03-08,1,0.0,0.0,0.0
2020-03-09,0,0.0,0.0,0.0
2020-03-10,0,0.0,0.0,0.0
2020-03-11,0,0.0,0.0,0.0
2020-03-12,0,0.0,0.0,0.0
2020-03-13,0,0.0,0.0,2.0
2020-03-14,2,0.0,1.0,0.0
2020-03-15,2,0.0,1.0,0.0
2020-03-16,1,0.0,0.0,0.0
2020-03-17,3,1.0,1.0,0.0
2020-03-18,4,0.0,2.0,0.0
2020-03-19,16,0.0,0.0,1.0
2020-03-20,6,2.0,2.0,0.0
2020-03-21,8,0.0,2.0,0.0
2020-03-22,16,1.0,2.0,1.0
2020-03-23,12,1.0,1.0,0.0
2020-03-24,7,0.0,1.0,1.0
2020-03-25,15,1.0,1.0,0.0
2020-03-26,13,2.0,2.0,0.0
2020-03-27,23,5.0,1.0,6.0
2020-03-28,17,4.0,6.0,1.0
2020-03-29,25,1.0,5.0,0.0
2020-03-30,20,0.0,2.0,0.0
2020-03-31,27,3.0,1.0,0.0
2020-04-01,25,0.0,2.0,1.0
2020-04-02,28,2.0,7.0,2.0
2020-04-03,19,2.0,2.0,0.0
2020-04-04,9,0.0,5.0,1.0
2020-04-05,12,1.0,4.0,1.0
2020-04-06,16,1.0,4.0,1.0
2020-04-07,11,3.0,6.0,1.0
2020-04-08,7,0.0,2.0,0.0
2020-04-09,4,1.0,6.0,0.0
2020-04-10,5,3.0,12.0,0.0
2020-04-11,3,5.0,4.0,2.0
2020-04-12,1,1.0,2.0,0.0
2020-04-13,4,1.0,1.0,0.0
2020-04-14,9,0.0,2.0,0.0
2020-04-15,6,0.0,5.0,0.0
2020-04-16,4,3.0,2.0,0.0
2020-04-17,1,16.0,3.0,0.0
2020-04-18,3,2.0,3.0,0.0
2020-04-19,0,2.0,2.0,0.0
2020-04-20,0,0.0,2.0,0.0
2020-04-21,2,3.0,1.0,0.0
2020-04-22,2,1.0,2.0,0.0
2020-04-23,1,1.0,1.0,0.0
2020-04-24,2,0.0,0.0,0.0
2020-04-25,1,1.0,0.0,0.0
2020-04-26,0,0.0,1.0,0.0
2020-04-27,0,0.0,1.0,0.0
2020-04-28,3,0.0,1.0,0.0
2020-04-29,0,3.0,1.0,0.0
2020-04-30,1,0.0,0.0,0.0
2020-05-01,0,0.0,0.0,0.0
2020-05-02,1,1.0,1.0,0.0
2020-05-03,0,1.0,0.0,0.0
2020-05-04,3,0.0,0.0,0.0
2020-05-05,1,0.0,0.0,0.0
2020-05-06,2,0.0,0.0,0.0
2020-05-07,0,0.0,0.0,0.0
2020-05-08,1,0.0,1.0,0.0
2020-05-09,1,0.0,0.0,0.0
2020-05-10,2,0.0,0.0,0.0
2020-05-11,1,0.0,0.0,0.0
2020-05-12,3,0.0,0.0,0.0
2020-05-13,0,0.0,0.0,0.0
2020-05-14,0,0.0,0.0,0.0
2020-05-15,1,1.0,0.0,0.0
2020-05-16,0,1.0,0.0,0.0
2020-05-17,0,0.0,0.0,0.0
2020-05-18,0,1.0,0.0,0.0
2020-05-19,1,0.0,0.0,0.0
2020-05-20,0,3.0,1.0,0.0
2020-05-21,0,0.0,0.0,0.0
2020-05-22,0,0.0,1.0,0.0
2020-05-23,0,0.0,0.0,0.0
2020-05-24,0,0.0,0.0,0.0
2020-05-25,0,0.0,0.0,0.0
2020-05-26,0,0.0,0.0,0.0
2020-05-27,2,0.0,0.0,0.0
2020-05-28,3,0.0,0.0,0.0
2020-05-29,2,0.0,1.0,0.0
2020-05-30,0,0.0,0.0,0.0
2020-05-31,0,0.0,0.0,0.0
2020-06-01,1,0.0,0.0,0.0
2020-06-02,1,0.0,0.0,0.0
2020-06-03,1,0.0,0.0,0.0
2020-06-04,6,0.0,0.0,0.0
2020-06-05,8,0.0,0.0,0.0
2020-06-06,1,0.0,0.0,0.0
2020-06-07,1,0.0,0.0,0.0
2020-06-08,6,0.0,0.0,0.0
2020-06-09,4,0.0,0.0,0.0
2020-06-10,6,0.0,0.0,0.0
2020-06-11,15,0.0,0.0,0.0
2020-06-12,17,0.0,0.0,0.0
2020-06-13,4,1.0,0.0,0.0
2020-06-14,8,0.0,0.0,0.0
2020-06-15,3,0.0,0.0,0.0
2020-06-16,4,1.0,0.0,0.0
2020-06-17,18,0.0,0.0,0.0
2020-06-18,24,0.0,1.0,1.0
2020-06-19,4,0.0,1.0,7.0
2020-06-20,8,2.0,0.0,0.0
2020-06-21,4,0.0,0.0,0.0
2020-06-22,3,0.0,0.0,0.0
2020-06-23,12,1.0,0.0,0.0
2020-06-24,12,0.0,0.0,3.0
2020-06-25,14,0.0,0.0,2.0
2020-06-26,5,0.0,0.0,1.0
2020-06-27,23,1.0,0.0,2.0
2020-06-28,2,0.0,0.0,0.0
2020-06-29,16,0.0,1.0,1.0
2020-06-30,5,0.0,2.0,0.0
2020-07-01,17,3.0,0.0,0.0
